Month,Sunspots
1829-01,43.0
1830-04,107.1
1830-05,66.3
1831-08,54.9
1831-09,37.9
1832-12,27.5
1833-01,11.3
1834-04,1.4
1834-05,8.8
1835-08,59.0
1835-09,100.8
1836-12,206.2
1837-01,188.0
1838-04,126.6
1838-05,137.6
1839-08,131.2
1839-09,132.7
1840-12,53.7
1841-01,24.0
1842-04,26.9
1842-05,24.9
1843-08,11.8
1843-09,4.2
1844-12,21.6
1845-01,25.7
1846-04,69.2
1846-05,59.9
1847-08,140.6
1847-09,161.2
1848-12,159.9
1849-01,156.7
1850-04,44.1
1850-05,61.6
1851-08,57.4
1851-09,67.9
1852-12,45.4
1853-01,41.1
1854-04,26.4
1854-05,24.0
1855-08,3.1
1855-09,0.0
1856-12,7.2
1857-01,13.7
1858-04,38.3
1858-05,41.4
1859-08,106.8
1859-09,105.8
1860-12,95.6
1861-01,62.3
1862-04,53.7
1862-05,64.4
1863-08,48.1
1863-09,22.0
1864-12,28.6
1865-01,48.7
1866-04,17.6
1866-05,12.9
1867-08,4.9
1867-09,9.8
1868-12,67.6
1869-01,60.9
1870-04,160.0
1870-05,176.0
1871-08,110.0
1871-09,80.3
1872-12,83.9
1873-01,86.7
1874-04,32.0
1874-05,44.6
1875-08,14.6
1875-09,2.4
1876-12,8.2
1877-01,24.4
1878-04,0.1
1878-05,5.8
1879-08,10.7
1879-09,6.1
1880-12,29.6
1881-01,36.4
1882-04,95.8
1882-05,64.1
1883-08,46.0
1883-09,52.6
1884-12,47.2
1885-01,42.8
1886-04,43.7
1886-05,30.7
1887-08,21.4
1887-09,7.4
1888-12,6.7
1889-01,0.8
1890-04,1.6
1890-05,4.8
1891-08,33.2
1891-09,53.8
1892-12,78.6
1893-01,75.0
1894-04,81.6
1894-05,101.2
1895-08,68.9
1895-09,57.7
1896-12,42.6
1897-01,40.6
1898-04,14.5
1898-05,25.8
1899-08,2.9
1899-09,8.4
1900-12,0.3
1901-01,0.2
1902-04,0.0
1902-05,2.8
1903-08,28.8
1903-09,11.1
1904-12,54.6
1905-01,54.8
1906-04,55.3
1906-05,57.7
1907-08,54.3
1907-09,85.0
1908-12,39.5
1909-01,56.7
1910-04,8.4
1910-05,22.2
1911-08,4.0
1911-09,4.0
1912-12,6.4
1913-01,2.3
1914-04,17.3
1914-05,5.2
1915-08,69.6
1915-09,49.5
1916-12,53.0
1917-01,74.7
1918-04,80.5
1918-05,76.7
1919-08,69.0
1919-09,54.7
1920-12,29.9
1921-01,31.5
1922-04,11.0
1922-05,8.0
1923-08,0.5
1923-09,13.2
1924-12,16.5
1925-01,5.5
1926-04,38.5
1926-05,64.3
1927-08,53.8
1927-09,68.4
1928-12,59.0
1929-01,68.9
1930-04,38.2
1930-05,36.8
1931-08,13.0
1931-09,19.0
1932-12,11.0
1933-01,12.3
1934-04,11.3
1934-05,19.7
1935-08,30.1
1935-09,42.1
1936-12,123.4
1937-01,132.5
1938-04,101.0
1938-05,127.4
1939-08,105.8
1939-09,112.6
1940-12,68.3
1941-01,45.6
1942-04,60.7
1942-05,25.0
1943-08,19.4
1943-09,10.0
1944-12,28.4
1945-01,18.5
1946-04,75.7
1946-05,84.9
1947-08,188.8
1947-09,169.4
1948-12,138.0
1949-01,119.1
1950-04,113.4
1950-05,106.2
1951-08,61.0
1951-09,83.1
1952-12,34.3
1953-01,26.5
1954-04,1.8
1954-05,0.8
1955-08,40.7
1955-09,42.7
1956-12,192.1
1957-01,165.0
1958-04,196.0
1958-05,175.3
1959-08,199.6
1959-09,145.2
1960-12,85.6
1961-01,57.9
1962-04,46.4
1962-05,43.7
1963-08,33.2
1963-09,38.8
1964-12,15.1
1965-01,17.5
1966-04,48.7
1966-05,45.3
1967-08,107.2
1967-09,76.8
1968-12,109.8
1969-01,104.4
1970-04,109.5
1970-05,127.5
1971-08,61.4
1971-09,50.2
1972-12,45.3
1973-01,43.4
1974-04,40.3
1974-05,39.5
1975-08,39.7
1975-09,13.9
1976-12,15.3
1977-01,16.4
1978-04,99.7
1978-05,82.7
1979-08,142.2
1979-09,188.4
1980-12,174.4
1981-01,114.0
1982-04,122.0
1982-05,82.2
1983-08,71.8
1983-09,50.3
1983-12,33.4
