hehe,DAYTON_MW
3695.0,28.133
3696.0,27.6
3711.0,27.1
3712.0,27.8
3727.0,10.0
3728.0,14.7
3743.0,26.767
3744.0,27.7
3759.0,26.5
3760.0,26.5
3775.0,21.9
3776.0,23.233
3791.0,28.3
3792.0,29.267
3807.0,27.167
3808.0,27.0
3816.0,9.267
3823.0,26.8
3824.0,26.867
3839.0,24.667
3840.0,24.775
3855.0,25.5
3856.0,25.767
3871.0,19.567
3872.0,24.567
3887.0,10.2
3888.0,10.133
3903.0,14.45
3904.0,21.067
3919.0,10.967
3920.0,10.533
3935.0,26.3
3936.0,26.933
3951.0,27.933
3952.0,29.0
3967.0,14.067
3968.0,22.467
3983.0,10.033
3984.0,10.0
3999.0,29.333
4000.0,29.55
4015.0,10.2
4016.0,10.0
4031.0,10.167
4032.0,9.833
4047.0,17.667
4048.0,23.067
4063.0,11.633
4064.0,10.4
4079.0,9.633
4080.0,9.533
4095.0,8.767
4096.0,8.767
4111.0,11.633
4112.0,18.6
4127.0,8.6
4128.0,9.067
4143.0,8.967
4144.0,8.867
4159.0,8.733
4160.0,8.7
4175.0,8.2
4176.0,8.533
4191.0,7.95
4192.0,8.033
4207.0,9.9
4208.0,9.3
4223.0,23.567
4224.0,23.0
4239.0,23.4
4240.0,23.8
4255.0,24.167
4256.0,23.767
4271.0,24.667
4272.0,24.35
4287.0,25.0
4288.0,25.067
4303.0,23.5
4304.0,23.567
4319.0,23.333
4320.0,23.033
4335.0,23.167
4336.0,23.642
4351.0,9.833
4352.0,9.767
4367.0,9.533
4368.0,9.233
4383.0,22.567
4384.0,23.367
4399.0,22.8
4400.0,23.05
4415.0,22.65
4416.0,22.42
4431.0,21.8
4432.0,22.26
4447.0,9.417
4448.0,11.84
4463.0,11.367
4464.0,9.583
4479.0,25.067
4480.0,25.683
4495.0,24.82
4496.0,24.833
4511.0,22.98
4512.0,16.333
4527.0,19.083
4528.0,22.5
4543.0,12.767
4544.0,17.8
4559.0,9.0
4560.0,9.1
4575.0,25.12
4576.0,26.7
4591.0,15.083
4592.0,14.983
4607.0,24.233
4608.0,24.55
4623.0,24.8
4624.0,24.65
4639.0,24.183
4640.0,24.1
4655.0,12.117
4656.0,11.94
4671.0,22.78
4672.0,23.167
4687.0,9.917
4688.0,9.933
4703.0,9.5
4704.0,9.55
4719.0,17.267
4720.0,22.7
4735.0,24.333
4736.0,23.983
4751.0,22.95
4752.0,22.78
4767.0,16.457
4768.0,21.7
4783.0,25.633
4784.0,25.383
4799.0,9.62
4800.0,9.8
4815.0,27.68
4816.0,25.767
4831.0,16.46
4832.0,9.633
4847.0,9.45
4848.0,9.333
4863.0,24.02
4864.0,24.233
4879.0,15.85
4880.0,10.075
4895.0,26.633
4896.0,27.2
4911.0,25.38
4912.0,25.35
4927.0,9.017
4928.0,10.617
4943.0,28.967
4944.0,29.567
4959.0,25.283
4960.0,25.35
4975.0,23.417
4976.0,23.229
4991.0,26.0
4992.0,26.267
5007.0,24.817
5008.0,24.717
5023.0,8.7
5024.0,8.7
5039.0,26.02
5040.0,26.3
5055.0,25.283
5056.0,25.333
5071.0,9.417
5072.0,9.16
5087.0,26.36
5088.0,26.083
5103.0,25.1
5104.0,25.16
5119.0,28.2
5120.0,27.8
5135.0,24.12
5136.0,24.333
5151.0,24.5
5152.0,22.983
5167.0,22.55
5168.0,22.333
5183.0,23.42
5184.0,23.6
5199.0,24.35
5200.0,24.217
5215.0,22.0
5216.0,21.9
5231.0,24.9
5232.0,25.0
5247.0,23.933
5248.0,23.85
5263.0,22.12
5264.0,21.95
5279.0,19.75
5280.0,24.533
5295.0,24.3
5296.0,24.214
5311.0,21.717
5312.0,21.567
5327.0,24.9
5328.0,24.9
5343.0,23.2
5344.0,23.15
5359.0,21.96
5360.0,21.95
5375.0,23.6
5376.0,23.8
5391.0,23.62
5392.0,23.483
5407.0,23.5
5408.0,23.35
5423.0,24.92
5424.0,25.54
5439.0,24.5
5440.0,24.5
5455.0,25.75
5456.0,25.48
5471.0,25.08
5472.0,24.867
5487.0,24.16
5488.0,23.6
5503.0,21.52
5504.0,21.413
5519.0,22.5
5520.0,22.583
5535.0,24.117
5536.0,23.68
5551.0,24.417
5552.0,24.3
5567.0,25.84
5568.0,26.133
5583.0,24.75
5584.0,24.7
5599.0,24.886
5600.0,24.64
5615.0,27.95
5616.0,28.55
5631.0,24.92
5632.0,24.9
5647.0,25.233
5648.0,25.08
5663.0,27.125
5664.0,27.38
5679.0,26.28
5680.0,26.283
5695.0,26.24
5696.0,26.033
5711.0,28.9
5712.0,29.367
5727.0,26.329
5728.0,26.117
5743.0,26.783
5744.0,26.45
5759.0,28.383
5760.0,28.967
5775.0,26.82
5776.0,26.717
5791.0,12.2
5792.0,16.033
5807.0,26.8
5808.0,27.25
5823.0,25.833
5824.0,25.66
5839.0,26.8
5840.0,26.7
5855.0,27.95
5856.0,28.633
5871.0,27.1
5872.0,27.55
5887.0,27.443
5888.0,27.26
5903.0,29.08
5904.0,28.467
5919.0,27.917
5920.0,28.85
5935.0,27.68
5936.0,27.45
5951.0,15.7
5952.0,15.3
5967.0,21.5
5968.0,15.429
5983.0,26.84
5984.0,26.783
5999.0,11.6
6000.0,11.367
6015.0,11.08
6016.0,11.513
6031.0,8.86
6032.0,8.717
6047.0,8.717
6048.0,8.62
6063.0,9.35
6064.0,9.371
6079.0,24.4
6080.0,24.214
6095.0,24.933
6096.0,24.65
6111.0,21.383
6112.0,16.06
6127.0,24.217
6128.0,24.1
6143.0,22.275
6144.0,22.3
6159.0,21.822
6160.0,22.06
6175.0,22.94
6176.0,23.1
6191.0,24.1
6192.0,24.017
6207.0,23.667
6208.0,24.083
6223.0,23.983
6224.0,24.0
6239.0,22.717
6240.0,22.767
6255.0,23.283
6256.0,23.983
6271.0,23.586
6272.0,23.6
6287.0,26.633
6288.0,26.683
6303.0,23.5
6304.0,24.4
6319.0,26.067
6320.0,26.0
6335.0,25.45
6336.0,25.25
6351.0,26.333
6352.0,26.38
6367.0,24.9
6368.0,25.05
6383.0,27.133
6384.0,26.3
6399.0,25.771
6400.0,26.644
6415.0,24.7
6416.0,24.783
6431.0,24.743
6432.0,24.683
6447.0,24.014
6448.0,25.217
6463.0,24.1
6464.0,24.16
6479.0,26.6
6480.0,27.167
6495.0,12.133
6496.0,12.433
6511.0,25.783
6512.0,25.683
6527.0,25.45
6528.0,25.05
6543.0,27.157
6544.0,27.85
6559.0,26.986
6560.0,26.75
6575.0,25.9
6576.0,26.075
6591.0,25.083
6592.0,25.5
6607.0,25.317
6608.0,25.4
6623.0,27.083
6624.0,26.833
6639.0,25.5
6640.0,26.2
6655.0,25.7
6656.0,25.7
6671.0,27.35
6672.0,26.8
6675.0,25.567
