No,Iws
12928.0,40.22
12929.0,45.14
12960.0,3.13
12961.0,4.92
12992.0,17.87
12993.0,21.0
13024.0,6.26
13025.0,11.18
13056.0,30.4
13057.0,0.89
13088.0,6.71
13089.0,0.89
13120.0,1.79
13121.0,0.89
13152.0,1.79
13153.0,2.68
13184.0,8.94
13185.0,10.73
13216.0,7.15
13217.0,1.79
13248.0,4.92
13249.0,1.79
13280.0,0.89
13281.0,1.78
13312.0,1.79
13313.0,5.81
13344.0,7.15
13345.0,10.28
13376.0,4.92
13377.0,8.05
13408.0,4.92
13409.0,8.05
13440.0,16.99
13441.0,18.78
13472.0,1.78
13473.0,2.67
13504.0,3.58
13505.0,9.39
13536.0,1.79
13537.0,3.13
13568.0,1.79
13569.0,4.92
13600.0,8.04
13601.0,13.85
13632.0,5.37
13633.0,0.89
13664.0,0.89
13665.0,3.13
13696.0,1.79
13697.0,3.58
13728.0,33.98
13729.0,3.13
13760.0,53.19
13761.0,54.98
13792.0,4.02
13793.0,3.13
13824.0,25.03
13825.0,0.89
13856.0,0.89
13857.0,1.78
13888.0,31.29
13889.0,37.1
13920.0,46.94
13921.0,50.07
13952.0,12.52
13953.0,0.89
13984.0,31.28
13985.0,36.2
14016.0,27.28
14017.0,29.07
14048.0,1.79
14049.0,3.58
14080.0,4.92
14081.0,6.71
14112.0,28.18
14113.0,29.97
14144.0,18.34
14145.0,21.47
14176.0,10.74
14177.0,0.89
14208.0,3.13
14209.0,4.92
14240.0,0.89
14241.0,1.78
14272.0,4.92
14273.0,9.84
14304.0,39.78
14305.0,41.57
14336.0,0.89
14337.0,1.78
14368.0,7.15
14369.0,11.17
14400.0,6.71
14401.0,8.5
14432.0,0.89
14433.0,1.79
14464.0,26.37
14465.0,29.5
14496.0,1.34
14497.0,2.23
14528.0,0.89
14529.0,1.78
14560.0,1.79
14561.0,4.92
14592.0,6.26
14593.0,5.81
14624.0,3.13
14625.0,1.79
14656.0,24.13
14657.0,29.05
14688.0,0.89
14689.0,1.79
14720.0,0.89
14721.0,1.79
14752.0,20.12
14753.0,25.04
14784.0,1.78
14785.0,1.79
14816.0,16.99
14817.0,21.01
14848.0,1.79
14849.0,3.58
14880.0,32.2
14881.0,33.99
14912.0,0.89
14913.0,1.78
14944.0,1.79
14945.0,4.92
14976.0,20.12
14977.0,21.91
15008.0,7.15
15009.0,4.02
15040.0,1.79
15041.0,3.13
15072.0,1.34
15073.0,2.23
15104.0,24.14
15105.0,28.16
15136.0,15.19
15137.0,19.21
15168.0,0.89
15169.0,1.78
15200.0,2.67
15201.0,0.89
15232.0,5.81
15233.0,9.83
15264.0,1.79
15265.0,3.58
15296.0,34.87
15297.0,38.89
15328.0,1.79
15329.0,1.79
15360.0,1.79
15361.0,0.89
15392.0,1.79
15393.0,3.58
15424.0,19.67
15425.0,25.48
15456.0,0.89
15457.0,2.68
15488.0,12.97
15489.0,16.1
15520.0,5.81
15521.0,8.94
15552.0,0.89
15553.0,0.89
15584.0,0.89
15585.0,1.79
15616.0,4.92
15617.0,8.05
15648.0,18.32
15649.0,23.24
15680.0,0.89
15681.0,3.13
15712.0,7.15
15713.0,10.28
15744.0,0.89
15745.0,0.89
15776.0,1.79
15777.0,2.68
15808.0,1.79
15809.0,1.79
15840.0,0.89
15841.0,0.89
15872.0,11.63
15873.0,13.42
15904.0,12.07
15905.0,16.09
15936.0,2.68
15937.0,0.89
15968.0,1.79
15969.0,5.81
16000.0,11.63
16001.0,16.55
16032.0,24.15
16033.0,25.04
16064.0,1.78
16065.0,2.67
16096.0,1.78
16097.0,1.79
16128.0,0.45
16129.0,1.79
16160.0,54.09
16161.0,55.88
16192.0,0.89
16193.0,1.78
16224.0,0.45
16225.0,0.89
16256.0,25.92
16257.0,29.94
16288.0,1.79
16289.0,4.92
16320.0,5.34
16321.0,1.79
16352.0,44.7
16353.0,51.85
16384.0,0.89
16385.0,1.78
16416.0,3.56
16417.0,1.79
16448.0,8.94
16449.0,12.07
16480.0,1.79
16481.0,6.71
16512.0,150.22
16513.0,155.14
16544.0,13.42
16545.0,0.89
16576.0,28.16
16577.0,40.23
16608.0,0.89
16609.0,1.79
16640.0,20.11
16641.0,21.9
16672.0,34.88
16673.0,0.89
16704.0,1.79
16705.0,2.68
16736.0,5.36
16737.0,0.89
16768.0,13.86
16769.0,15.65
16800.0,2.68
16801.0,4.47
16832.0,8.05
16833.0,11.18
16864.0,3.58
16865.0,5.37
16896.0,1.78
16897.0,1.79
16928.0,0.89
16929.0,0.89
16960.0,50.95
16961.0,60.78
16992.0,93.43
16993.0,99.24
17024.0,3.58
17025.0,1.79
17056.0,5.37
17057.0,8.5
17088.0,8.05
17089.0,20.12
17120.0,9.84
17121.0,13.86
17152.0,274.04
17153.0,278.96
17184.0,4.92
17185.0,8.94
17216.0,3.13
17217.0,4.92
17248.0,3.58
17249.0,1.79
17280.0,3.13
17281.0,3.13
17312.0,1.79
17313.0,0.89
17344.0,29.95
17345.0,35.76
17376.0,3.58
17377.0,1.79
17408.0,12.53
17409.0,14.32
17440.0,9.83
17441.0,11.62
17472.0,46.96
17473.0,48.75
17504.0,26.38
17505.0,29.51
17536.0,1.79
17537.0,0.89
17568.0,119.36
17569.0,127.41
17600.0,1.79
17601.0,4.92
17632.0,2.67
17633.0,0.89
17664.0,34.44
17665.0,36.23
17696.0,11.63
17697.0,15.65
17728.0,4.92
17729.0,8.94
17760.0,3.13
17761.0,7.15
17792.0,4.46
17793.0,6.25
17824.0,4.02
17825.0,7.15
17856.0,0.89
17857.0,0.89
17888.0,8.5
17889.0,11.63
17920.0,2.67
17921.0,0.89
17952.0,1.78
17953.0,2.67
17984.0,32.64
17985.0,38.45
18016.0,4.92
18017.0,8.05
18048.0,0.89
18049.0,3.13
18080.0,33.08
18081.0,37.1
18112.0,12.97
18113.0,22.8
18144.0,0.89
18145.0,4.92
18176.0,1.78
18177.0,0.89
18208.0,1.79
18209.0,2.68
18240.0,7.14
18241.0,0.45
18272.0,23.7
18273.0,4.02
18304.0,3.13
18305.0,1.79
18336.0,4.92
18337.0,10.73
18368.0,1.79
18369.0,1.79
18400.0,137.23
18401.0,153.32
18432.0,98.79
18433.0,105.94
18464.0,0.89
18465.0,3.13
18496.0,8.05
18497.0,13.86
18528.0,12.5
18529.0,16.52
18560.0,9.39
18561.0,11.18
18592.0,5.81
18593.0,1.79
18624.0,16.09
18625.0,20.11
18656.0,178.82
18657.0,188.65
18688.0,30.39
18689.0,36.2
18720.0,2.67
18721.0,3.56
18752.0,1.79
18753.0,3.58
18784.0,3.57
18785.0,1.79
18816.0,23.69
18817.0,25.48
18848.0,52.3
18849.0,56.32
18880.0,5.37
18881.0,3.13
18912.0,2.67
18913.0,3.56
18944.0,1.78
18945.0,3.57
18976.0,0.89
18977.0,1.78
19008.0,0.45
19009.0,1.34
19040.0,0.89
19041.0,0.89
19072.0,11.63
19073.0,13.42
19104.0,0.45
19105.0,4.02
19136.0,29.51
19137.0,34.43
19168.0,16.99
19169.0,21.01
19200.0,158.24
19201.0,165.39
19232.0,8.95
19233.0,10.74
19264.0,18.33
19265.0,25.48
19296.0,42.9
19297.0,46.03
19328.0,3.58
19329.0,0.89
19360.0,33.08
19361.0,38.0
19392.0,0.89
19393.0,1.79
19424.0,5.81
19425.0,9.83
19456.0,5.81
19457.0,4.02
19488.0,41.12
19489.0,46.04
19520.0,51.85
19521.0,57.66
19552.0,10.28
19553.0,15.2
19584.0,0.89
19585.0,3.13
19616.0,1.79
19617.0,1.79
19648.0,49.17
19649.0,60.35
19680.0,3.13
19681.0,7.15
19712.0,0.89
19713.0,1.79
19744.0,14.75
19745.0,19.67
19776.0,0.89
19777.0,1.79
19808.0,56.77
19809.0,61.69
19840.0,4.02
19841.0,4.02
19872.0,1.79
19873.0,4.92
19904.0,0.89
19905.0,0.89
19936.0,71.09
19937.0,78.24
19968.0,25.92
19969.0,4.02
20000.0,4.01
20001.0,1.79
20032.0,25.92
20033.0,33.97
20064.0,41.58
20065.0,45.6
20096.0,71.96
20097.0,73.75
20128.0,108.19
20129.0,109.98
20160.0,1.79
20161.0,3.58
20192.0,14.3
20193.0,18.32
20224.0,3.13
20225.0,6.26
20256.0,5.81
20257.0,8.94
20288.0,103.25
20289.0,108.17
20320.0,8.05
20321.0,12.07
20352.0,165.83
20353.0,4.02
20384.0,3.58
20385.0,6.71
20416.0,1.79
20417.0,4.92
20448.0,48.74
20449.0,0.89
20480.0,8.94
20481.0,12.07
20512.0,9.39
20513.0,13.41
20544.0,32.63
20545.0,36.65
20576.0,1.78
20577.0,3.13
20608.0,4.47
20609.0,1.79
20640.0,0.89
20641.0,0.45
20672.0,23.25
20673.0,25.04
20704.0,4.02
20705.0,9.83
20736.0,7.15
20737.0,11.17
20768.0,0.89
20769.0,3.13
20800.0,117.99
20801.0,127.82
20832.0,52.3
20833.0,54.09
20864.0,10.29
20865.0,12.08
20896.0,21.01
20897.0,25.93
20928.0,27.27
20929.0,3.13
20960.0,3.13
20961.0,7.15
20992.0,1.79
20993.0,1.79
21024.0,0.89
21025.0,1.79
21056.0,1.79
21057.0,3.58
21088.0,17.88
21089.0,22.8
21120.0,12.06
21121.0,15.19
21152.0,1.79
21153.0,0.89
21184.0,12.07
21185.0,15.2
21216.0,57.24
21217.0,60.37
21248.0,0.89
21249.0,1.78
21280.0,3.13
21281.0,7.15
21312.0,7.15
21313.0,11.17
21344.0,1.79
21345.0,0.89
21376.0,16.54
21377.0,22.35
21408.0,16.98
21409.0,25.03
21440.0,9.39
21441.0,13.41
21472.0,13.86
21473.0,17.88
21504.0,6.26
21505.0,8.05
21536.0,44.27
21537.0,0.89
21568.0,16.54
21569.0,21.46
21600.0,18.77
21601.0,20.56
21632.0,0.89
21633.0,0.45
21664.0,5.37
21665.0,1.79
21696.0,54.08
21697.0,0.89
21728.0,18.78
21729.0,22.8
21760.0,19.22
21761.0,22.35
21792.0,26.38
21793.0,27.27
21824.0,0.89
21825.0,1.79
21856.0,1.79
21857.0,3.58
21888.0,30.39
21889.0,34.41
21920.0,1.34
21921.0,1.79
21952.0,1.79
21953.0,1.79
21984.0,39.78
21985.0,42.91
22016.0,5.36
22017.0,0.89
22048.0,20.12
22049.0,24.14
22080.0,26.38
22081.0,29.51
22112.0,8.5
22113.0,10.29
22144.0,1.79
22145.0,3.13
22176.0,3.58
22177.0,5.37
22208.0,2.67
22209.0,3.13
22240.0,4.47
22241.0,1.79
22272.0,29.95
22273.0,31.74
22304.0,91.65
22305.0,93.44
22336.0,21.48
22337.0,23.27
22368.0,35.33
22369.0,37.12
22400.0,3.13
22401.0,3.13
22432.0,5.37
22433.0,8.5
22464.0,14.76
22465.0,16.55
22496.0,0.89
22497.0,1.79
22528.0,1.79
22529.0,3.58
22560.0,4.92
22561.0,8.94
22592.0,8.05
22593.0,11.18
22624.0,1.79
22625.0,4.92
22656.0,1.79
22657.0,1.79
22688.0,0.89
22689.0,1.79
22720.0,6.26
22721.0,9.39
22752.0,30.41
22753.0,31.3
22784.0,1.78
22785.0,2.67
22816.0,3.13
22817.0,4.02
22848.0,0.89
22849.0,0.89
22880.0,1.79
22881.0,1.79
22912.0,15.2
22913.0,18.33
22944.0,4.47
22945.0,6.26
22976.0,0.89
22977.0,4.02
23008.0,12.06
23009.0,16.98
23040.0,51.41
23041.0,55.43
23072.0,2.68
23073.0,0.89
23104.0,0.89
23105.0,1.78
23136.0,1.78
23137.0,1.79
23168.0,1.78
23169.0,2.67
23200.0,15.19
23201.0,19.21
23232.0,27.71
23233.0,28.6
23264.0,1.79
23265.0,3.58
23296.0,1.79
23297.0,1.79
23328.0,4.92
23329.0,5.81
23360.0,0.89
23361.0,1.79
23392.0,1.79
23393.0,3.13
23424.0,20.11
23425.0,24.13
23456.0,12.07
23457.0,15.2
23488.0,11.62
23489.0,17.43
23520.0,1.78
23521.0,3.13
23552.0,3.58
23553.0,3.13
23584.0,3.13
23585.0,6.26
23616.0,4.92
23617.0,6.71
23648.0,25.93
23649.0,33.08
23680.0,4.02
23681.0,8.04
23712.0,0.89
23713.0,1.78
23744.0,8.05
23745.0,9.84
23776.0,3.58
23777.0,1.79
23808.0,3.13
23809.0,0.89
23840.0,1.79
23841.0,3.13
23872.0,12.96
23873.0,17.88
23904.0,9.39
23905.0,0.89
23936.0,0.89
23937.0,2.68
23968.0,11.17
23969.0,15.19
24000.0,1.78
24001.0,0.89
24032.0,107.29
24033.0,118.47
24064.0,0.89
24065.0,1.79
24096.0,0.89
24097.0,0.89
24128.0,0.89
24129.0,0.89
24160.0,3.13
24161.0,4.92
24192.0,6.26
24193.0,0.89
24224.0,10.28
24225.0,13.41
24256.0,1.79
24257.0,1.79
24288.0,1.79
24289.0,2.68
24320.0,3.12
24321.0,1.79
24352.0,28.16
24353.0,32.18
24384.0,21.36
24385.0,22.25
24416.0,49.84
24417.0,50.73
24448.0,78.32
24449.0,79.21
24480.0,113.57
24481.0,117.59
24512.0,4.47
24513.0,8.49
24544.0,3.13
24545.0,4.92
24576.0,0.45
24577.0,0.89
24608.0,16.99
24609.0,0.89
24640.0,7.15
24641.0,10.28
24672.0,0.89
24673.0,1.79
24704.0,1.78
24705.0,3.13
24736.0,31.74
24737.0,40.68
24768.0,0.89
24769.0,0.89
24800.0,3.12
24801.0,1.79
24832.0,21.9
24833.0,27.71
24864.0,13.86
24865.0,0.89
24896.0,0.89
24897.0,0.89
24928.0,189.56
24929.0,200.74
24960.0,446.58
24961.0,450.6
