Date,Views
2016-08-23,25.35
2016-08-24,24.11
2016-08-27,25.42
2016-08-28,26.54
2016-08-31,23.761666666666702
2016-09-01,23.761666666666702
2016-09-04,23.761666666666702
2016-09-05,23.761666666666702
2016-09-08,22.95
2016-09-09,20.75
2016-09-12,21.11
2016-09-13,24.11
2016-09-16,21.48
2016-09-17,24.61
2016-09-20,21.12
2016-09-21,23.38
2016-09-24,23.02
2016-09-25,23.81
2016-09-28,24.11
2016-09-29,22.86
2016-10-02,23.88
2016-10-03,26.07
2016-10-06,23.75678571428574
2016-10-07,20.85
2016-10-10,24.91
2016-10-11,19.7
2016-10-14,21.27
2016-10-15,24.25
2016-10-18,25.23
2016-10-19,23.66
2016-10-22,23.4
2016-10-23,23.62
2016-10-26,23.48
2016-10-27,22.31
2016-10-30,22.99
2016-10-31,25.23
2016-11-03,22.67
2016-11-04,20.86
2016-11-07,25.02
2016-11-08,24.6
2016-11-11,20.82
2016-11-12,23.48
2016-11-15,24.23
2016-11-16,24.03
2016-11-19,22.77
2016-11-20,20.38
2016-11-23,22.7
2016-11-24,21.13
2016-11-27,22.25
2016-11-28,21.39
2016-12-01,21.17
2016-12-02,19.55
2016-12-05,25.2
2016-12-06,23.75
2016-12-09,19.53
2016-12-10,22.86
2016-12-13,23.66
2016-12-14,22.66
2016-12-17,18.57
2016-12-18,22.42
2016-12-21,26.28
2016-12-22,24.2
2016-12-25,25.87
2016-12-26,22.70689655172414
2016-12-29,26.07
2016-12-30,24.36
2016-12-31,26.15
