timedelta,dst
261 days 08:00:00,-9.0
263 days 23:00:00,-42.0
264 days 00:00:00,-37.0
266 days 15:00:00,-132.0
266 days 16:00:00,-137.0
269 days 07:00:00,-16.0
269 days 08:00:00,-16.0
271 days 23:00:00,-54.0
272 days 00:00:00,-52.0
274 days 15:00:00,-19.0
274 days 16:00:00,-18.0
277 days 07:00:00,-5.0
277 days 08:00:00,-8.0
279 days 23:00:00,-3.0
280 days 00:00:00,-2.0
282 days 15:00:00,-13.0
282 days 16:00:00,-15.0
285 days 07:00:00,-5.0
285 days 08:00:00,-4.0
287 days 23:00:00,-9.0
288 days 00:00:00,-12.0
290 days 15:00:00,-9.0
290 days 16:00:00,-13.0
293 days 07:00:00,-13.0
293 days 08:00:00,-19.0
295 days 23:00:00,-4.0
296 days 00:00:00,-6.0
298 days 15:00:00,-69.0
298 days 16:00:00,-67.0
301 days 07:00:00,3.0
301 days 08:00:00,-1.0
303 days 23:00:00,-7.0
304 days 00:00:00,-3.0
306 days 15:00:00,21.0
306 days 16:00:00,18.0
309 days 07:00:00,10.0
309 days 08:00:00,7.0
311 days 23:00:00,10.0
312 days 00:00:00,3.0
314 days 15:00:00,-8.0
314 days 16:00:00,-6.0
317 days 07:00:00,-19.0
317 days 08:00:00,-14.0
319 days 23:00:00,-6.0
320 days 00:00:00,-4.0
322 days 15:00:00,-18.0
322 days 16:00:00,-21.0
325 days 07:00:00,-3.0
325 days 08:00:00,-8.0
327 days 23:00:00,-19.0
328 days 00:00:00,-17.0
330 days 15:00:00,-3.0
330 days 16:00:00,0.0
333 days 07:00:00,-49.0
333 days 08:00:00,-49.0
335 days 23:00:00,-11.0
336 days 00:00:00,-11.0
338 days 15:00:00,-17.0
338 days 16:00:00,-22.0
341 days 07:00:00,-32.0
341 days 08:00:00,-29.0
343 days 23:00:00,-18.0
344 days 00:00:00,-22.0
346 days 15:00:00,-12.0
346 days 16:00:00,-14.0
349 days 07:00:00,-7.0
349 days 08:00:00,-4.0
351 days 23:00:00,7.0
352 days 00:00:00,8.0
354 days 15:00:00,-15.0
354 days 16:00:00,-17.0
357 days 07:00:00,-8.0
357 days 08:00:00,-5.0
359 days 23:00:00,-16.0
360 days 00:00:00,-15.0
362 days 15:00:00,-12.0
362 days 16:00:00,-11.0
365 days 07:00:00,-7.0
365 days 08:00:00,-7.0
367 days 23:00:00,-102.0
368 days 00:00:00,-101.0
370 days 15:00:00,-16.0
370 days 16:00:00,-19.0
373 days 07:00:00,-6.0
373 days 08:00:00,-11.0
375 days 23:00:00,-9.0
376 days 00:00:00,-10.0
378 days 15:00:00,-48.0
378 days 16:00:00,-68.0
381 days 07:00:00,-29.0
381 days 08:00:00,-43.0
383 days 23:00:00,-39.0
384 days 00:00:00,-44.0
386 days 15:00:00,-44.0
386 days 16:00:00,-42.0
389 days 07:00:00,-9.0
389 days 08:00:00,-11.0
391 days 23:00:00,-15.0
392 days 00:00:00,-19.0
394 days 15:00:00,-5.0
394 days 16:00:00,-7.0
397 days 07:00:00,-14.0
397 days 08:00:00,-15.0
399 days 23:00:00,9.0
400 days 00:00:00,5.0
402 days 15:00:00,15.0
402 days 16:00:00,16.0
405 days 07:00:00,-6.0
405 days 08:00:00,-1.0
407 days 23:00:00,-46.0
408 days 00:00:00,-49.0
410 days 15:00:00,-9.0
410 days 16:00:00,-11.0
413 days 07:00:00,-11.0
413 days 08:00:00,-13.0
415 days 23:00:00,-22.0
416 days 00:00:00,-18.0
418 days 15:00:00,-8.0
418 days 16:00:00,-7.0
421 days 07:00:00,0.0
421 days 08:00:00,-3.0
423 days 23:00:00,1.0
424 days 00:00:00,0.0
426 days 15:00:00,-12.0
426 days 16:00:00,-15.0
429 days 07:00:00,-2.0
429 days 08:00:00,1.0
431 days 23:00:00,5.0
432 days 00:00:00,3.0
434 days 15:00:00,1.0
434 days 16:00:00,2.0
437 days 07:00:00,-16.0
437 days 08:00:00,-13.0
439 days 23:00:00,-20.0
440 days 00:00:00,-22.0
442 days 15:00:00,1.0
442 days 16:00:00,1.0
445 days 07:00:00,-7.0
445 days 08:00:00,-7.0
447 days 23:00:00,10.0
448 days 00:00:00,9.0
450 days 15:00:00,25.0
450 days 16:00:00,31.0
453 days 07:00:00,2.0
453 days 08:00:00,1.0
455 days 23:00:00,5.0
456 days 00:00:00,6.0
458 days 15:00:00,2.0
458 days 16:00:00,5.0
461 days 07:00:00,29.0
461 days 08:00:00,32.0
463 days 23:00:00,-13.0
464 days 00:00:00,-16.0
466 days 15:00:00,-1.0
466 days 16:00:00,0.0
469 days 07:00:00,5.0
469 days 08:00:00,6.0
471 days 23:00:00,8.0
472 days 00:00:00,-1.0
474 days 15:00:00,14.0
474 days 16:00:00,14.0
477 days 07:00:00,16.0
477 days 08:00:00,15.0
479 days 23:00:00,-2.0
480 days 00:00:00,-1.0
482 days 15:00:00,5.0
482 days 16:00:00,6.0
485 days 07:00:00,12.0
485 days 08:00:00,14.0
487 days 23:00:00,5.0
488 days 00:00:00,9.0
490 days 15:00:00,15.0
490 days 16:00:00,14.0
493 days 07:00:00,7.0
493 days 08:00:00,7.0
495 days 23:00:00,12.0
496 days 00:00:00,14.0
498 days 15:00:00,-11.0
498 days 16:00:00,-13.0
501 days 07:00:00,-8.0
501 days 08:00:00,-8.0
503 days 23:00:00,-1.0
504 days 00:00:00,0.0
506 days 15:00:00,1.0
506 days 16:00:00,2.0
509 days 07:00:00,1.0
509 days 08:00:00,-2.0
511 days 23:00:00,-16.0
512 days 00:00:00,-12.0
514 days 15:00:00,-2.0
514 days 16:00:00,-3.0
517 days 07:00:00,15.0
517 days 08:00:00,18.0
519 days 23:00:00,17.0
520 days 00:00:00,12.0
522 days 15:00:00,-18.0
522 days 16:00:00,-17.0
525 days 07:00:00,-2.0
525 days 08:00:00,-4.0
527 days 23:00:00,-31.0
528 days 00:00:00,-33.0
530 days 15:00:00,-27.0
530 days 16:00:00,-26.0
533 days 07:00:00,-6.0
533 days 08:00:00,-4.0
535 days 23:00:00,12.0
536 days 00:00:00,15.0
538 days 15:00:00,-7.0
538 days 16:00:00,-8.0
541 days 07:00:00,0.0
541 days 08:00:00,0.0
543 days 23:00:00,0.0
544 days 00:00:00,4.0
546 days 15:00:00,-16.0
546 days 16:00:00,-15.0
549 days 07:00:00,-22.0
549 days 08:00:00,-23.0
551 days 23:00:00,-18.0
552 days 00:00:00,-21.0
554 days 15:00:00,-48.0
554 days 16:00:00,-39.0
557 days 07:00:00,-16.0
557 days 08:00:00,-14.0
559 days 23:00:00,-17.0
560 days 00:00:00,-19.0
562 days 15:00:00,-39.0
562 days 16:00:00,-36.0
565 days 07:00:00,-23.0
565 days 08:00:00,-22.0
567 days 23:00:00,4.0
568 days 00:00:00,3.0
570 days 15:00:00,15.0
570 days 16:00:00,14.0
573 days 07:00:00,29.0
573 days 08:00:00,26.0
575 days 23:00:00,-24.0
576 days 00:00:00,-27.0
578 days 15:00:00,-39.0
578 days 16:00:00,-31.0
581 days 07:00:00,-31.0
581 days 08:00:00,-30.0
583 days 23:00:00,-173.0
584 days 00:00:00,-155.0
586 days 15:00:00,-11.0
586 days 16:00:00,-11.0
589 days 07:00:00,-41.0
589 days 08:00:00,-49.0
591 days 23:00:00,-21.0
592 days 00:00:00,-20.0
594 days 15:00:00,-18.0
594 days 16:00:00,-16.0
597 days 07:00:00,-15.0
597 days 08:00:00,-12.0
599 days 23:00:00,-1.0
600 days 00:00:00,0.0
602 days 15:00:00,-34.0
602 days 16:00:00,-34.0
605 days 07:00:00,-30.0
605 days 08:00:00,-24.0
607 days 23:00:00,-31.0
608 days 00:00:00,-34.0
610 days 15:00:00,-10.0
610 days 16:00:00,-11.0
613 days 07:00:00,-228.0
613 days 08:00:00,-206.0
615 days 23:00:00,-53.0
616 days 00:00:00,-52.0
618 days 15:00:00,-60.0
618 days 16:00:00,-61.0
621 days 07:00:00,-25.0
621 days 08:00:00,-26.0
623 days 23:00:00,-19.0
624 days 00:00:00,-22.0
626 days 15:00:00,4.0
626 days 16:00:00,2.0
629 days 07:00:00,-48.0
629 days 08:00:00,-45.0
631 days 23:00:00,-36.0
632 days 00:00:00,-34.0
634 days 15:00:00,-31.0
634 days 16:00:00,-32.0
637 days 07:00:00,-33.0
637 days 08:00:00,-33.0
639 days 23:00:00,-43.0
640 days 00:00:00,-33.0
642 days 15:00:00,-16.0
642 days 16:00:00,-16.0
645 days 07:00:00,-25.0
645 days 08:00:00,-30.0
647 days 23:00:00,-21.0
648 days 00:00:00,-17.0
650 days 15:00:00,4.0
650 days 16:00:00,5.0
653 days 07:00:00,5.0
653 days 08:00:00,7.0
655 days 23:00:00,-10.0
656 days 00:00:00,-8.0
658 days 15:00:00,-26.0
658 days 16:00:00,-22.0
661 days 07:00:00,-18.0
661 days 08:00:00,-19.0
663 days 23:00:00,-14.0
664 days 00:00:00,-12.0
666 days 15:00:00,-24.0
666 days 16:00:00,-22.0
669 days 07:00:00,1.0
669 days 08:00:00,-3.0
671 days 23:00:00,3.0
672 days 00:00:00,4.0
674 days 15:00:00,9.0
674 days 16:00:00,7.0
677 days 07:00:00,-6.0
677 days 08:00:00,-8.0
679 days 23:00:00,-6.0
680 days 00:00:00,-7.0
682 days 15:00:00,23.0
682 days 16:00:00,25.0
685 days 07:00:00,-20.0
685 days 08:00:00,-21.0
687 days 23:00:00,-9.0
688 days 00:00:00,-9.0
690 days 15:00:00,-22.0
690 days 16:00:00,-23.0
693 days 07:00:00,0.0
693 days 08:00:00,-1.0
695 days 23:00:00,-26.0
696 days 00:00:00,-30.0
698 days 15:00:00,-9.0
698 days 16:00:00,-10.0
701 days 07:00:00,1.0
701 days 08:00:00,1.0
703 days 23:00:00,-5.0
704 days 00:00:00,-2.0
706 days 15:00:00,-54.0
706 days 16:00:00,-56.0
709 days 07:00:00,-16.0
709 days 08:00:00,-15.0
711 days 23:00:00,-25.0
712 days 00:00:00,-28.0
714 days 15:00:00,-5.0
714 days 16:00:00,-2.0
717 days 07:00:00,-4.0
717 days 08:00:00,-3.0
719 days 23:00:00,-30.0
720 days 00:00:00,-30.0
722 days 15:00:00,-18.0
722 days 16:00:00,-19.0
725 days 07:00:00,0.0
725 days 08:00:00,-3.0
727 days 23:00:00,-30.0
728 days 00:00:00,-28.0
730 days 15:00:00,-22.0
730 days 16:00:00,-16.0
733 days 07:00:00,-7.0
733 days 08:00:00,-7.0
735 days 23:00:00,-9.0
736 days 00:00:00,-5.0
738 days 15:00:00,-29.0
738 days 16:00:00,-26.0
741 days 07:00:00,-12.0
741 days 08:00:00,-7.0
743 days 23:00:00,-7.0
744 days 00:00:00,3.0
746 days 15:00:00,-1.0
746 days 16:00:00,3.0
749 days 07:00:00,-5.0
749 days 08:00:00,-11.0
751 days 23:00:00,-41.0
752 days 00:00:00,-35.0
754 days 15:00:00,-31.0
754 days 16:00:00,-28.0
757 days 07:00:00,-8.0
757 days 08:00:00,-9.0
759 days 23:00:00,15.0
760 days 00:00:00,17.0
762 days 15:00:00,7.0
762 days 16:00:00,8.0
765 days 07:00:00,22.0
765 days 08:00:00,15.0
767 days 23:00:00,-17.0
768 days 00:00:00,-18.0
770 days 15:00:00,2.0
770 days 16:00:00,2.0
773 days 07:00:00,-5.0
773 days 08:00:00,-5.0
775 days 23:00:00,-45.0
776 days 00:00:00,-49.0
778 days 15:00:00,-39.0
778 days 16:00:00,-42.0
781 days 07:00:00,-185.0
781 days 08:00:00,-158.0
783 days 23:00:00,-42.0
784 days 00:00:00,-50.0
786 days 15:00:00,-12.0
786 days 16:00:00,-13.0
789 days 07:00:00,4.0
789 days 08:00:00,4.0
791 days 23:00:00,-26.0
792 days 00:00:00,-23.0
794 days 15:00:00,-6.0
794 days 16:00:00,-9.0
797 days 07:00:00,9.0
797 days 08:00:00,1.0
799 days 23:00:00,-12.0
800 days 00:00:00,-14.0
802 days 15:00:00,-19.0
802 days 16:00:00,-24.0
805 days 07:00:00,-17.0
805 days 08:00:00,-15.0
807 days 23:00:00,-27.0
808 days 00:00:00,-29.0
810 days 15:00:00,-8.0
810 days 16:00:00,-8.0
813 days 07:00:00,13.0
813 days 08:00:00,4.0
815 days 23:00:00,4.0
816 days 00:00:00,7.0
818 days 15:00:00,4.0
818 days 16:00:00,5.0
821 days 07:00:00,-69.0
821 days 08:00:00,-66.0
823 days 23:00:00,-5.0
824 days 00:00:00,-4.0
826 days 15:00:00,-4.0
826 days 16:00:00,-8.0
829 days 07:00:00,-61.0
829 days 08:00:00,-65.0
831 days 23:00:00,-21.0
832 days 00:00:00,-22.0
834 days 15:00:00,-20.0
834 days 16:00:00,-23.0
837 days 07:00:00,-10.0
837 days 08:00:00,-13.0
839 days 23:00:00,-21.0
840 days 00:00:00,-29.0
842 days 15:00:00,2.0
842 days 16:00:00,2.0
845 days 07:00:00,-52.0
845 days 08:00:00,-50.0
847 days 23:00:00,-4.0
848 days 00:00:00,-2.0
850 days 15:00:00,-17.0
850 days 16:00:00,-18.0
853 days 07:00:00,4.0
853 days 08:00:00,4.0
855 days 23:00:00,4.0
856 days 00:00:00,0.0
858 days 15:00:00,11.0
858 days 16:00:00,13.0
861 days 07:00:00,-14.0
861 days 08:00:00,-27.0
863 days 23:00:00,-21.0
864 days 00:00:00,-24.0
866 days 15:00:00,14.0
866 days 16:00:00,15.0
869 days 07:00:00,14.0
869 days 08:00:00,14.0
871 days 23:00:00,6.0
872 days 00:00:00,2.0
874 days 15:00:00,6.0
874 days 16:00:00,8.0
877 days 07:00:00,-14.0
877 days 08:00:00,-12.0
879 days 23:00:00,-28.0
880 days 00:00:00,-33.0
882 days 15:00:00,-64.0
882 days 16:00:00,-58.0
885 days 07:00:00,-77.0
885 days 08:00:00,-82.0
887 days 23:00:00,-38.0
888 days 00:00:00,-39.0
890 days 15:00:00,-18.0
890 days 16:00:00,-19.0
893 days 07:00:00,-47.0
893 days 08:00:00,-49.0
895 days 23:00:00,-17.0
896 days 00:00:00,-17.0
898 days 15:00:00,-15.0
898 days 16:00:00,-14.0
901 days 07:00:00,-11.0
901 days 08:00:00,-17.0
903 days 23:00:00,-13.0
904 days 00:00:00,-10.0
906 days 15:00:00,-19.0
906 days 16:00:00,-23.0
909 days 07:00:00,-59.0
909 days 08:00:00,-60.0
911 days 23:00:00,-19.0
912 days 00:00:00,-22.0
914 days 15:00:00,-2.0
914 days 16:00:00,-6.0
917 days 07:00:00,-26.0
917 days 08:00:00,-25.0
919 days 23:00:00,-13.0
920 days 00:00:00,-13.0
922 days 15:00:00,-13.0
922 days 16:00:00,-9.0
925 days 07:00:00,-56.0
925 days 08:00:00,-46.0
927 days 23:00:00,-19.0
928 days 00:00:00,-21.0
930 days 15:00:00,-19.0
930 days 16:00:00,-13.0
933 days 07:00:00,-6.0
933 days 08:00:00,-6.0
935 days 23:00:00,-24.0
936 days 00:00:00,-15.0
938 days 15:00:00,13.0
938 days 16:00:00,8.0
941 days 07:00:00,-21.0
941 days 08:00:00,-25.0
943 days 23:00:00,-68.0
944 days 00:00:00,-52.0
946 days 15:00:00,-77.0
946 days 16:00:00,-73.0
949 days 07:00:00,-19.0
949 days 08:00:00,-17.0
951 days 23:00:00,-37.0
952 days 00:00:00,-37.0
954 days 15:00:00,-27.0
954 days 16:00:00,-22.0
957 days 07:00:00,-64.0
957 days 08:00:00,-62.0
959 days 23:00:00,-42.0
960 days 00:00:00,-46.0
962 days 15:00:00,-167.0
962 days 16:00:00,-150.0
965 days 07:00:00,-26.0
965 days 08:00:00,-25.0
967 days 23:00:00,-10.0
968 days 00:00:00,-8.0
970 days 15:00:00,-13.0
970 days 16:00:00,-23.0
973 days 07:00:00,-36.0
973 days 08:00:00,-31.0
975 days 23:00:00,-18.0
976 days 00:00:00,-17.0
978 days 15:00:00,0.0
978 days 16:00:00,2.0
981 days 07:00:00,-30.0
981 days 08:00:00,-31.0
983 days 23:00:00,-23.0
984 days 00:00:00,-21.0
986 days 15:00:00,-70.0
986 days 16:00:00,-73.0
989 days 07:00:00,-17.0
989 days 08:00:00,-14.0
991 days 23:00:00,4.0
992 days 00:00:00,6.0
994 days 15:00:00,-80.0
994 days 16:00:00,-75.0
997 days 07:00:00,-13.0
997 days 08:00:00,-10.0
999 days 23:00:00,-31.0
1000 days 00:00:00,-32.0
1002 days 15:00:00,-2.0
1002 days 16:00:00,-2.0
1005 days 07:00:00,4.0
1005 days 08:00:00,5.0
1007 days 23:00:00,4.0
1008 days 00:00:00,6.0
1010 days 15:00:00,-16.0
1010 days 16:00:00,-20.0
1013 days 07:00:00,-13.0
1013 days 08:00:00,-15.0
1015 days 23:00:00,-31.0
1016 days 00:00:00,-27.0
1018 days 15:00:00,-47.0
1018 days 16:00:00,-42.0
1021 days 07:00:00,-8.0
1021 days 08:00:00,-6.0
1023 days 23:00:00,9.0
1024 days 00:00:00,10.0
1026 days 15:00:00,-9.0
1026 days 16:00:00,-11.0
1029 days 07:00:00,-11.0
1029 days 08:00:00,-10.0
1031 days 23:00:00,16.0
1032 days 00:00:00,14.0
1034 days 15:00:00,19.0
1034 days 16:00:00,17.0
1037 days 07:00:00,-9.0
1037 days 08:00:00,-3.0
1039 days 23:00:00,17.0
1040 days 00:00:00,13.0
1042 days 15:00:00,-3.0
1042 days 16:00:00,-4.0
1045 days 07:00:00,15.0
1045 days 08:00:00,11.0
1047 days 23:00:00,1.0
1048 days 00:00:00,1.0
1050 days 15:00:00,13.0
1050 days 16:00:00,9.0
1053 days 07:00:00,-2.0
1053 days 08:00:00,-4.0
1055 days 23:00:00,4.0
1056 days 00:00:00,3.0
1058 days 15:00:00,-16.0
1058 days 16:00:00,-15.0
1061 days 07:00:00,-25.0
1061 days 08:00:00,-26.0
1063 days 23:00:00,-15.0
1064 days 00:00:00,-12.0
1066 days 15:00:00,13.0
1066 days 16:00:00,15.0
1069 days 07:00:00,5.0
1069 days 08:00:00,0.0
1071 days 23:00:00,-23.0
1072 days 00:00:00,-22.0
1074 days 15:00:00,-21.0
1074 days 16:00:00,-20.0
1077 days 07:00:00,-12.0
1077 days 08:00:00,-20.0
1079 days 23:00:00,-6.0
1080 days 00:00:00,-8.0
1082 days 15:00:00,-7.0
1082 days 16:00:00,-7.0
1085 days 07:00:00,12.0
1085 days 08:00:00,14.0
1087 days 23:00:00,-1.0
1088 days 00:00:00,1.0
1090 days 15:00:00,1.0
1090 days 16:00:00,-5.0
1093 days 07:00:00,-8.0
1093 days 08:00:00,-14.0
1095 days 23:00:00,-12.0
1096 days 00:00:00,-11.0
1098 days 15:00:00,3.0
1098 days 16:00:00,3.0
1101 days 07:00:00,-17.0
1101 days 08:00:00,-17.0
1103 days 23:00:00,-4.0
1104 days 00:00:00,0.0
1106 days 15:00:00,2.0
1106 days 16:00:00,0.0
1109 days 07:00:00,-3.0
1109 days 08:00:00,-3.0
1111 days 23:00:00,-5.0
1112 days 00:00:00,-7.0
1114 days 15:00:00,-14.0
1114 days 16:00:00,-12.0
1117 days 07:00:00,-3.0
1117 days 08:00:00,0.0
1119 days 23:00:00,7.0
1120 days 00:00:00,7.0
1122 days 15:00:00,-6.0
1122 days 16:00:00,-5.0
1125 days 07:00:00,8.0
1125 days 08:00:00,7.0
1127 days 23:00:00,-86.0
1128 days 00:00:00,-83.0
1130 days 15:00:00,-12.0
1130 days 16:00:00,-20.0
1133 days 07:00:00,-23.0
1133 days 08:00:00,-25.0
1135 days 23:00:00,-51.0
1136 days 00:00:00,-51.0
1138 days 15:00:00,-9.0
1138 days 16:00:00,-9.0
1141 days 07:00:00,-86.0
1141 days 08:00:00,-84.0
1143 days 23:00:00,-31.0
1144 days 00:00:00,-29.0
1146 days 15:00:00,-36.0
1146 days 16:00:00,-33.0
1149 days 07:00:00,-38.0
1149 days 08:00:00,-34.0
1151 days 23:00:00,-76.0
1152 days 00:00:00,-76.0
1154 days 15:00:00,-29.0
1154 days 16:00:00,-30.0
1157 days 07:00:00,-109.0
1157 days 08:00:00,-102.0
1159 days 23:00:00,-12.0
1160 days 00:00:00,-10.0
1162 days 15:00:00,-55.0
1162 days 16:00:00,-48.0
1165 days 07:00:00,-10.0
1165 days 08:00:00,-11.0
1167 days 23:00:00,-19.0
1168 days 00:00:00,-12.0
1170 days 15:00:00,2.0
1170 days 16:00:00,3.0
1173 days 07:00:00,7.0
1173 days 08:00:00,4.0
1175 days 23:00:00,4.0
1176 days 00:00:00,0.0
1178 days 15:00:00,-48.0
1178 days 16:00:00,-57.0
1181 days 07:00:00,-36.0
1181 days 08:00:00,-43.0
1183 days 23:00:00,-19.0
1184 days 00:00:00,-23.0
1186 days 15:00:00,-8.0
1186 days 16:00:00,-5.0
1189 days 07:00:00,0.0
1189 days 08:00:00,3.0
1191 days 23:00:00,22.0
1192 days 00:00:00,24.0
1194 days 15:00:00,4.0
1194 days 16:00:00,6.0
1197 days 07:00:00,20.0
1197 days 08:00:00,22.0
1199 days 23:00:00,-3.0
1200 days 00:00:00,-3.0
1 days 15:00:00,-42.0
1 days 16:00:00,-42.0
4 days 07:00:00,-15.0
4 days 08:00:00,-13.0
6 days 23:00:00,-24.0
7 days 00:00:00,-24.0
9 days 15:00:00,-13.0
9 days 16:00:00,-9.0
12 days 07:00:00,-3.0
12 days 08:00:00,-5.0
14 days 23:00:00,-7.0
15 days 00:00:00,-6.0
17 days 15:00:00,-14.0
17 days 16:00:00,-15.0
20 days 07:00:00,-17.0
20 days 08:00:00,-17.0
22 days 23:00:00,-38.0
23 days 00:00:00,-33.0
25 days 15:00:00,-9.0
25 days 16:00:00,-11.0
28 days 07:00:00,-98.0
28 days 08:00:00,-101.0
30 days 23:00:00,-16.0
31 days 00:00:00,-16.0
33 days 15:00:00,-8.0
33 days 16:00:00,-7.0
36 days 07:00:00,-28.0
36 days 08:00:00,-27.0
38 days 23:00:00,4.0
39 days 00:00:00,3.0
41 days 15:00:00,-18.0
41 days 16:00:00,-19.0
44 days 07:00:00,-49.0
44 days 08:00:00,-52.0
46 days 23:00:00,0.0
